MacDive v2.16.3 CSV Export
Units: Imperial

Date, GPS Latitude, GPS Longitude, Location
"2025-12-31 11:03:54","20.75527","-156.84886","Lanai, HI"
"2025-12-31 08:40:47","20.73357","-156.92329","Lanai, HI"
"2025-12-27 09:54:42","20.63300","-156.49902","Maui, HI"
"2025-12-27 07:43:57","20.63300","-156.49902","Maui, HI"
"2025-01-16 19:07:59","1.48952","125.24916","Lembeh"
"2025-01-16 14:41:30","1.45815","125.23493","Lembeh"
"2025-01-16 10:45:10","1.45436","125.22371","Lembeh"
"2025-01-16 08:31:43","1.43366","125.20530","Lembeh"
"2025-01-15 14:33:41","1.47318","125.23467","Lembeh"
"2025-01-15 10:13:22","1.48630","125.24144","Lembeh"
"2025-01-15 08:22:50","1.47833","125.25046","Lembeh"
"2025-01-14 14:43:28","1.48207","125.23845","Lembeh"
"2025-01-14 10:28:22","1.48952","125.24916","Lembeh"
"2025-01-14 08:26:04","1.49585","125.24195","Lembeh"
"2025-01-13 14:39:20","1.47803","125.23618","Lembeh"
"2025-01-13 10:30:25","1.45957","125.22140","Lembeh"
"2025-01-13 08:29:03","1.43300","125.19500","Lembeh"
"2025-01-12 14:49:39","1.47318","125.23467","Lembeh"
"2025-01-12 10:38:04","1.45949","125.24073","Lembeh"
"2025-01-12 08:31:18","1.43247","125.19117","Lembeh"
"2025-01-11 14:33:05","1.45896","125.22130","Lembeh"
"2025-01-11 10:39:00","1.45816","125.21982","Lembeh"
"2025-01-11 08:18:08","1.47203","125.24661","Lembeh"
"2025-01-09 14:50:19","1.45949","125.24073","Lembeh"
"2025-01-09 14:50:19","1.45949","125.24073","Lembeh"
"2025-01-09 10:52:17","1.43800","125.21351","Lembeh"
"2025-01-09 08:36:14","1.50202","125.24213","Lembeh"
"2025-01-06 15:03:35","-2.09856","130.85986","Raja Ampat"
"2025-01-06 11:39:43","-2.09843","130.85606","Raja Ampat"
"2025-01-06 08:02:45","-2.10585","130.87224","Raja Ampat"
"2025-01-05 14:07:25","-2.21804","130.56505","Raja Ampat"
"2025-01-05 10:11:21","-2.25972","130.64835","Raja Ampat"
"2025-01-05 07:09:20","-2.23500","130.60001","Raja Ampat"
"2025-01-04 18:59:09","-2.19460","130.60844","Raja Ampat"
"2025-01-04 14:03:22","-2.22146","130.61195","Raja Ampat"
"2025-01-04 10:13:34","-2.20883","130.37793","Raja Ampat"
"2025-01-04 07:01:21","-2.21696","130.45340","Raja Ampat"
"2025-01-03 19:04:05","-2.19479","130.42702","Raja Ampat"
"2025-01-03 15:02:30","-2.19635","130.61005","Raja Ampat"
"2025-01-03 11:08:13","-2.15600","130.58640","Raja Ampat"
"2025-01-02 16:24:38","-0.58881","130.29613","Raja Ampat"
"2025-01-02 10:34:27","-0.56602","130.28444","Raja Ampat"
"2025-01-02 07:03:37","-0.58789","130.31480","Raja Ampat"
"2025-01-01 18:59:45","-0.58565","130.28152","Raja Ampat"
"2025-01-01 12:41:57","-0.56207","130.54062","Raja Ampat"
"2025-01-01 09:03:07","-0.51054","130.45590","Raja Ampat"
"2024-12-31 14:38:33","-0.51111","130.44514","Raja Ampat"
"2024-12-31 10:03:27","-0.54577","130.70247","Raja Ampat"
"2024-12-31 07:09:20","-0.55897","130.68742","Raja Ampat"
"2024-12-30 19:02:22","-0.44960","130.69772","Raja Ampat"
"2024-12-30 12:20:51","-0.50728","130.73857","Raja Ampat"
"2024-12-30 09:21:05","-0.53449","130.71710","Raja Ampat"
"2024-12-29 19:10:37","-0.43895","130.72594","Raja Ampat"
"2024-12-29 15:09:42","-0.44899","130.80090","Raja Ampat"
"2024-12-07 18:19:02","20.92661","-156.69604","Maui, HI"
"2024-12-07 14:02:40","20.88523","-156.68742","Maui, HI"
"2024-12-07 09:28:12","20.63300","-156.49902","Maui, HI"
"2024-12-07 07:40:07","20.63300","-156.49902","Maui, HI"
"2024-06-06 09:50:08","9.05022","119.81092","Tubbataha Reef"
"2024-06-06 06:53:47","9.04346","119.81819","Tubbataha Reef"
"2024-06-05 16:16:01","8.73936","119.81682","Tubbataha Reef"
"2024-06-05 13:15:37","8.74037","119.81158","Tubbataha Reef"
"2024-06-05 09:45:57","8.79864","119.84169","Tubbataha Reef"
"2024-06-05 06:47:16","8.74612","119.82802","Tubbataha Reef"
"2024-06-04 16:26:02","8.74059","119.82355","Tubbataha Reef"
"2024-06-04 13:23:14","8.74037","119.81158","Tubbataha Reef"
"2024-06-04 09:51:03","8.74612","119.82802","Tubbataha Reef"
"2024-06-04 06:54:00","8.79864","119.84169","Tubbataha Reef"
"2024-06-03 16:34:54","8.91000","120.00000","Tubbataha Reef"
"2024-06-03 13:50:29","8.93698","120.01078","Tubbataha Reef"
"2024-06-03 10:20:08","8.91000","120.00000","Tubbataha Reef"
"2024-06-03 06:47:51","8.88681","119.89374","Tubbataha Reef"
"2024-06-02 15:14:33","8.84640","119.91844","Tubbataha Reef"
"2024-06-02 11:49:27","8.84784","119.93338","Tubbataha Reef"
"2024-06-02 08:40:41","8.84499","119.89934","Tubbataha Reef"
"2024-03-12 11:08:58","-16.73410","146.26472","Flynn Reef"
"2024-03-12 09:33:59","-16.73410","146.26472","Flynn Reef"
"2024-03-12 06:37:29","-16.73210","146.26666","Flynn Reef"
"2024-03-11 19:20:41","-16.73223","146.26656","Flynn Reef"
